video_id,title,thumbnail_default,thumbnail_medium,thumbnail_high,published_at
6xiWPkq5vBc,第26回 人生の羅針盤(価値観マップ)を作ろう！作り方解説【人生論】,https://i.ytimg.com/vi/6xiWPkq5vBc/default.jpg,https://i.ytimg.com/vi/6xiWPkq5vBc/mqdefault.jpg,https://i.ytimg.com/vi/6xiWPkq5vBc/hqdefault.jpg,2019-03-18T22:00:00Z
b0ATSC18Zd8,第7回 原因自分論で考える【人生論】,https://i.ytimg.com/vi/b0ATSC18Zd8/default.jpg,https://i.ytimg.com/vi/b0ATSC18Zd8/mqdefault.jpg,https://i.ytimg.com/vi/b0ATSC18Zd8/hqdefault.jpg,2019-01-23T22:00:01Z
RrTiyi0jdOI,第56回 青色申告と開業届けの出し方【お金の勉強 初級編 】,https://i.ytimg.com/vi/RrTiyi0jdOI/default.jpg,https://i.ytimg.com/vi/RrTiyi0jdOI/mqdefault.jpg,https://i.ytimg.com/vi/RrTiyi0jdOI/hqdefault.jpg,2018-11-26T22:00:00Z
FwIq9n00B3A,第71回 ふるさと納税はお得な制度？【お金の勉強 初級編】,https://i.ytimg.com/vi/FwIq9n00B3A/default.jpg,https://i.ytimg.com/vi/FwIq9n00B3A/mqdefault.jpg,https://i.ytimg.com/vi/FwIq9n00B3A/hqdefault.jpg,2019-02-21T22:00:02Z
no_I95ag9jA,第17回 積立てNISAで20年後暴落が起きたらどうすれば良いか?【お金の勉強 株式投資編】,https://i.ytimg.com/vi/no_I95ag9jA/default.jpg,https://i.ytimg.com/vi/no_I95ag9jA/mqdefault.jpg,https://i.ytimg.com/vi/no_I95ag9jA/hqdefault.jpg,2019-01-24T22:00:06Z
QO7j9Dj6E4A,第4回 お金の増やし方 正しいお金の貯め方を知ろう【お金の勉強 初級編 】,https://i.ytimg.com/vi/QO7j9Dj6E4A/default.jpg,https://i.ytimg.com/vi/QO7j9Dj6E4A/mqdefault.jpg,https://i.ytimg.com/vi/QO7j9Dj6E4A/hqdefault.jpg,2018-10-07T15:05:23Z
6qL3W9Qmnqk,第1回 初心者のための不動産投資の仕組みを解説！【お金の勉強 不動産投資編】,https://i.ytimg.com/vi/6qL3W9Qmnqk/default.jpg,https://i.ytimg.com/vi/6qL3W9Qmnqk/mqdefault.jpg,https://i.ytimg.com/vi/6qL3W9Qmnqk/hqdefault.jpg,2018-12-17T22:00:00Z
QMkyAS4IKuA,第7回 NISAと積立NISAって何？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/QMkyAS4IKuA/default.jpg,https://i.ytimg.com/vi/QMkyAS4IKuA/mqdefault.jpg,https://i.ytimg.com/vi/QMkyAS4IKuA/hqdefault.jpg,2018-12-09T22:00:01Z
fg7ZMuRp5D4,第1回 プロフィール&amp;自由な生活を手にするためにはどうすればいいか【お金の勉強 初級編】,https://i.ytimg.com/vi/fg7ZMuRp5D4/default.jpg,https://i.ytimg.com/vi/fg7ZMuRp5D4/mqdefault.jpg,https://i.ytimg.com/vi/fg7ZMuRp5D4/hqdefault.jpg,2018-10-05T15:08:06Z
tWBreJI2KAM,第29回  iDeCoで作った老後資金が退職時に暴落したらどうすればいい？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/tWBreJI2KAM/default.jpg,https://i.ytimg.com/vi/tWBreJI2KAM/mqdefault.jpg,https://i.ytimg.com/vi/tWBreJI2KAM/hqdefault.jpg,2019-03-31T10:00:15Z
iJl6wh0AKjw,第4回 株はいつ買えば良いのか？ドルコスト平均法【お金の勉強 株式投資編】,https://i.ytimg.com/vi/iJl6wh0AKjw/default.jpg,https://i.ytimg.com/vi/iJl6wh0AKjw/mqdefault.jpg,https://i.ytimg.com/vi/iJl6wh0AKjw/hqdefault.jpg,2018-12-04T22:00:02Z
12xnXZjo-yw,第20回 正義について【人生論】,https://i.ytimg.com/vi/12xnXZjo-yw/default.jpg,https://i.ytimg.com/vi/12xnXZjo-yw/mqdefault.jpg,https://i.ytimg.com/vi/12xnXZjo-yw/hqdefault.jpg,2019-02-25T22:00:02Z
p-kC1YcScrs,第26回 REIT(リート)の仕組み【お金の勉強 初級編】,https://i.ytimg.com/vi/p-kC1YcScrs/default.jpg,https://i.ytimg.com/vi/p-kC1YcScrs/mqdefault.jpg,https://i.ytimg.com/vi/p-kC1YcScrs/hqdefault.jpg,2018-10-24T11:00:12Z
bqFnIlzJIc8,第78回 年金の追納はした方が良いか？【お金の勉強 初級編】,https://i.ytimg.com/vi/bqFnIlzJIc8/default.jpg,https://i.ytimg.com/vi/bqFnIlzJIc8/mqdefault.jpg,https://i.ytimg.com/vi/bqFnIlzJIc8/hqdefault.jpg,2019-03-15T22:00:03Z
weABbrTjtZY,第79回 生活防衛資金はいくら貯めれば良いか？【お金の勉強 初級編】,https://i.ytimg.com/vi/weABbrTjtZY/default.jpg,https://i.ytimg.com/vi/weABbrTjtZY/mqdefault.jpg,https://i.ytimg.com/vi/weABbrTjtZY/hqdefault.jpg,2019-03-23T22:00:03Z
JYKHLMg8fno,第12回 インデックス投資の問題点と高配当株について【お金の勉強 株式投資編】,https://i.ytimg.com/vi/JYKHLMg8fno/default.jpg,https://i.ytimg.com/vi/JYKHLMg8fno/mqdefault.jpg,https://i.ytimg.com/vi/JYKHLMg8fno/hqdefault.jpg,2018-12-14T22:00:01Z
l-xtje2E0sc,第15回 従業員持株会(自分の勤めている会社の株)を買うことについて【お金の勉強 株式投資編】,https://i.ytimg.com/vi/l-xtje2E0sc/default.jpg,https://i.ytimg.com/vi/l-xtje2E0sc/mqdefault.jpg,https://i.ytimg.com/vi/l-xtje2E0sc/hqdefault.jpg,2019-01-10T22:00:06Z
nDC3juGf5G8,第2回 お金の自由を得るための基本の考え方【お金の勉強 初級編 】,https://i.ytimg.com/vi/nDC3juGf5G8/default.jpg,https://i.ytimg.com/vi/nDC3juGf5G8/mqdefault.jpg,https://i.ytimg.com/vi/nDC3juGf5G8/hqdefault.jpg,2018-10-06T04:14:43Z
K1zInd495ec,第31-1回 不動産投資成功法 ワンルームマンション投資に手を出すな【お金の勉強 初級編 】,https://i.ytimg.com/vi/K1zInd495ec/default.jpg,https://i.ytimg.com/vi/K1zInd495ec/mqdefault.jpg,https://i.ytimg.com/vi/K1zInd495ec/hqdefault.jpg,2018-10-29T23:32:21Z
olJUniYSpcw,第25回 老後に米国株が暴落していたらどうすれば良いか？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/olJUniYSpcw/default.jpg,https://i.ytimg.com/vi/olJUniYSpcw/mqdefault.jpg,https://i.ytimg.com/vi/olJUniYSpcw/hqdefault.jpg,2019-03-22T22:00:03Z
net2FClXDx0,第42-1回 職場(会社)にバレない副業の始め方【お金の勉強 初級編】,https://i.ytimg.com/vi/net2FClXDx0/default.jpg,https://i.ytimg.com/vi/net2FClXDx0/mqdefault.jpg,https://i.ytimg.com/vi/net2FClXDx0/hqdefault.jpg,2018-11-08T22:00:03Z
TinAojki5zs,第57回 宝くじは愚か者に課せられた税金【お金の勉強 初級編 】,https://i.ytimg.com/vi/TinAojki5zs/default.jpg,https://i.ytimg.com/vi/TinAojki5zs/mqdefault.jpg,https://i.ytimg.com/vi/TinAojki5zs/hqdefault.jpg,2018-11-27T22:00:01Z
pVw1Pme95uM,第1回 お金持ちになる時間単価の考え方【人生論】,https://i.ytimg.com/vi/pVw1Pme95uM/default.jpg,https://i.ytimg.com/vi/pVw1Pme95uM/mqdefault.jpg,https://i.ytimg.com/vi/pVw1Pme95uM/hqdefault.jpg,2018-12-29T22:00:03Z
etWUd2D-o1g,第3回 初心者におすすめの不動産投資手法とは？【お金の勉強 不動産投資編】,https://i.ytimg.com/vi/etWUd2D-o1g/default.jpg,https://i.ytimg.com/vi/etWUd2D-o1g/mqdefault.jpg,https://i.ytimg.com/vi/etWUd2D-o1g/hqdefault.jpg,2018-12-21T22:00:03Z
DYX5yNk3HyM,第3回 学長オススメのプログラミング勉強法【稼ぐ 実践編】,https://i.ytimg.com/vi/DYX5yNk3HyM/default.jpg,https://i.ytimg.com/vi/DYX5yNk3HyM/mqdefault.jpg,https://i.ytimg.com/vi/DYX5yNk3HyM/hqdefault.jpg,2019-03-20T22:00:02Z
8jyyhsemfHQ,第8回 iDeCoって結局お得？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/8jyyhsemfHQ/default.jpg,https://i.ytimg.com/vi/8jyyhsemfHQ/mqdefault.jpg,https://i.ytimg.com/vi/8jyyhsemfHQ/hqdefault.jpg,2018-12-10T22:00:02Z
mUN8FjkFzaE,第51回 会社員の手取りを増やす控除について【お金の勉強 初級編 】,https://i.ytimg.com/vi/mUN8FjkFzaE/default.jpg,https://i.ytimg.com/vi/mUN8FjkFzaE/mqdefault.jpg,https://i.ytimg.com/vi/mUN8FjkFzaE/hqdefault.jpg,2018-11-21T22:00:06Z
IoHG6ZJ8BO0,第44-1回 社会保険の仕組み【お金の勉強 初級編 】,https://i.ytimg.com/vi/IoHG6ZJ8BO0/default.jpg,https://i.ytimg.com/vi/IoHG6ZJ8BO0/mqdefault.jpg,https://i.ytimg.com/vi/IoHG6ZJ8BO0/hqdefault.jpg,2018-11-12T22:00:01Z
cW0CHO33y20,第54回 社会保険料を安くする方法【お金の勉強 初級編 】,https://i.ytimg.com/vi/cW0CHO33y20/default.jpg,https://i.ytimg.com/vi/cW0CHO33y20/mqdefault.jpg,https://i.ytimg.com/vi/cW0CHO33y20/hqdefault.jpg,2018-11-25T01:57:34Z
J0s8czVKcVE,第2回 副業に使える学長おすすめのパソコンは？【稼ぐ 実践編】,https://i.ytimg.com/vi/J0s8czVKcVE/default.jpg,https://i.ytimg.com/vi/J0s8czVKcVE/mqdefault.jpg,https://i.ytimg.com/vi/J0s8czVKcVE/hqdefault.jpg,2019-03-16T22:00:00Z
ERWMch_YtYk,第32回 サブリース契約の罠に注意 かぼちゃの馬車【お金の勉強 初級編 】,https://i.ytimg.com/vi/ERWMch_YtYk/default.jpg,https://i.ytimg.com/vi/ERWMch_YtYk/mqdefault.jpg,https://i.ytimg.com/vi/ERWMch_YtYk/hqdefault.jpg,2018-10-30T22:00:01Z
XsUydesjejw,第43-1回 事業(副業)を始める時の税金と確定申告【お金の勉強 初級編 】,https://i.ytimg.com/vi/XsUydesjejw/default.jpg,https://i.ytimg.com/vi/XsUydesjejw/mqdefault.jpg,https://i.ytimg.com/vi/XsUydesjejw/hqdefault.jpg,2018-11-10T22:00:00Z
Im55eBda4zc,第33回 相続税対策のアパート経営に気をつけろ【お金の勉強 初級編 】,https://i.ytimg.com/vi/Im55eBda4zc/default.jpg,https://i.ytimg.com/vi/Im55eBda4zc/mqdefault.jpg,https://i.ytimg.com/vi/Im55eBda4zc/hqdefault.jpg,2018-10-31T12:00:02Z
WbwenzbmzCE,第27回 含み損が出てる3000万の日本株をいつ売れば良いか？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/WbwenzbmzCE/default.jpg,https://i.ytimg.com/vi/WbwenzbmzCE/mqdefault.jpg,https://i.ytimg.com/vi/WbwenzbmzCE/hqdefault.jpg,2019-03-27T22:00:03Z
BEWyUVmx4rE,第18回 リボ払いとカードローンからの脱出手順解説【お金の勉強 初級編 】,https://i.ytimg.com/vi/BEWyUVmx4rE/default.jpg,https://i.ytimg.com/vi/BEWyUVmx4rE/mqdefault.jpg,https://i.ytimg.com/vi/BEWyUVmx4rE/hqdefault.jpg,2018-10-16T21:37:25Z
cFpv1Zitt2c,第13回 インデックス投資の弱点と初心者におすすめの米国高配当株【お金の勉強 株式投資編】,https://i.ytimg.com/vi/cFpv1Zitt2c/default.jpg,https://i.ytimg.com/vi/cFpv1Zitt2c/mqdefault.jpg,https://i.ytimg.com/vi/cFpv1Zitt2c/hqdefault.jpg,2018-12-15T22:00:01Z
yiFm2F6QsOE,第24回 投資信託とファンドとは【お金の勉強 初級編】,https://i.ytimg.com/vi/yiFm2F6QsOE/default.jpg,https://i.ytimg.com/vi/yiFm2F6QsOE/mqdefault.jpg,https://i.ytimg.com/vi/yiFm2F6QsOE/hqdefault.jpg,2018-10-21T22:00:07Z
ix_BOlp5Gy4,第30回 初心者が投資で勝つ方法 銀行の外貨預金に手を出すな【お金の勉強 初級編 】,https://i.ytimg.com/vi/ix_BOlp5Gy4/default.jpg,https://i.ytimg.com/vi/ix_BOlp5Gy4/mqdefault.jpg,https://i.ytimg.com/vi/ix_BOlp5Gy4/hqdefault.jpg,2018-10-28T22:00:02Z
OIWHEAjJ2ls,第9回 受け取り上手は人生お得【人生論】,https://i.ytimg.com/vi/OIWHEAjJ2ls/default.jpg,https://i.ytimg.com/vi/OIWHEAjJ2ls/mqdefault.jpg,https://i.ytimg.com/vi/OIWHEAjJ2ls/hqdefault.jpg,2019-01-27T22:00:02Z
-FwOSviP_jk,第19回 貯める編まとめ【お金の勉強 初級編 】,https://i.ytimg.com/vi/-FwOSviP_jk/default.jpg,https://i.ytimg.com/vi/-FwOSviP_jk/mqdefault.jpg,https://i.ytimg.com/vi/-FwOSviP_jk/hqdefault.jpg,2018-10-17T22:00:00Z
2mt2b7FfBIs,第20回 投資を始めて資本家になろう【お金の勉強 初級編 】,https://i.ytimg.com/vi/2mt2b7FfBIs/default.jpg,https://i.ytimg.com/vi/2mt2b7FfBIs/mqdefault.jpg,https://i.ytimg.com/vi/2mt2b7FfBIs/hqdefault.jpg,2018-10-18T22:00:01Z
IKX5q_zDtlc,第11回 保険のまとめ【お金の勉強 初級編 】,https://i.ytimg.com/vi/IKX5q_zDtlc/default.jpg,https://i.ytimg.com/vi/IKX5q_zDtlc/mqdefault.jpg,https://i.ytimg.com/vi/IKX5q_zDtlc/hqdefault.jpg,2018-10-12T03:00:03Z
ezQLr4uqoFg,第1回 個人事業主が国民健康保険料を安くする方法【お金を&quot;貯める&quot;】,https://i.ytimg.com/vi/ezQLr4uqoFg/default.jpg,https://i.ytimg.com/vi/ezQLr4uqoFg/mqdefault.jpg,https://i.ytimg.com/vi/ezQLr4uqoFg/hqdefault.jpg,2019-02-07T22:00:04Z
6JEOjFIjQz8,第10回 ロボアドバイザーってどう？ウェルスナビとTHEO(テオ)について【お金の勉強 株式投資編】,https://i.ytimg.com/vi/6JEOjFIjQz8/default.jpg,https://i.ytimg.com/vi/6JEOjFIjQz8/mqdefault.jpg,https://i.ytimg.com/vi/6JEOjFIjQz8/hqdefault.jpg,2018-12-12T22:00:00Z
WoFFpt0UHb0,第9回 貯金を投資に回す時は一括投資と分割投資どちらがよい？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/WoFFpt0UHb0/default.jpg,https://i.ytimg.com/vi/WoFFpt0UHb0/mqdefault.jpg,https://i.ytimg.com/vi/WoFFpt0UHb0/hqdefault.jpg,2018-12-11T22:00:04Z
Bqj5qaI_UPQ,第6回 Giveについて(人に与える)【人生論】,https://i.ytimg.com/vi/Bqj5qaI_UPQ/default.jpg,https://i.ytimg.com/vi/Bqj5qaI_UPQ/mqdefault.jpg,https://i.ytimg.com/vi/Bqj5qaI_UPQ/hqdefault.jpg,2019-01-18T22:00:02Z
5cPixdsAWUI,第58回 お金を貸すと2つの大事なものをなくす【お金の勉強 初級編 】,https://i.ytimg.com/vi/5cPixdsAWUI/default.jpg,https://i.ytimg.com/vi/5cPixdsAWUI/mqdefault.jpg,https://i.ytimg.com/vi/5cPixdsAWUI/hqdefault.jpg,2018-11-28T22:00:01Z
J_8Ob8IxPDM,第72回 払い済み保険てお得？〜保険を解約する時の考え方〜【お金の勉強 初級編】,https://i.ytimg.com/vi/J_8Ob8IxPDM/default.jpg,https://i.ytimg.com/vi/J_8Ob8IxPDM/mqdefault.jpg,https://i.ytimg.com/vi/J_8Ob8IxPDM/hqdefault.jpg,2019-02-22T22:00:01Z
6T3ViOL4K2Y,第23回 両@学長はどんな生活をしているのか？【人生論】,https://i.ytimg.com/vi/6T3ViOL4K2Y/default.jpg,https://i.ytimg.com/vi/6T3ViOL4K2Y/mqdefault.jpg,https://i.ytimg.com/vi/6T3ViOL4K2Y/hqdefault.jpg,2019-03-01T22:00:02Z
oHMg9opZ5GY,第16回 持ち家の固定費削減【お金の勉強 初級編 】,https://i.ytimg.com/vi/oHMg9opZ5GY/default.jpg,https://i.ytimg.com/vi/oHMg9opZ5GY/mqdefault.jpg,https://i.ytimg.com/vi/oHMg9opZ5GY/hqdefault.jpg,2018-10-15T22:00:02Z
qbPdID0vljM,第22回 株ってなに？~株式会社と株式投資の仕組み~【お金の勉強 初級編 】,https://i.ytimg.com/vi/qbPdID0vljM/default.jpg,https://i.ytimg.com/vi/qbPdID0vljM/mqdefault.jpg,https://i.ytimg.com/vi/qbPdID0vljM/hqdefault.jpg,2018-10-20T17:08:07Z
vIF9qDz_5xw,第81回 金の仏像は相続税対策になるのか？相続税のキホン【お金の勉強 初級編】,https://i.ytimg.com/vi/vIF9qDz_5xw/default.jpg,https://i.ytimg.com/vi/vIF9qDz_5xw/mqdefault.jpg,https://i.ytimg.com/vi/vIF9qDz_5xw/hqdefault.jpg,2019-03-31T22:00:05Z
6SKlyluDx78,第3-1回 辞めない優秀な社員の雇い方 その1【経営論】,https://i.ytimg.com/vi/6SKlyluDx78/default.jpg,https://i.ytimg.com/vi/6SKlyluDx78/mqdefault.jpg,https://i.ytimg.com/vi/6SKlyluDx78/hqdefault.jpg,2019-01-13T22:00:01Z
PxEN5D6iWlw,第2回 不動産投資のおすすめ勉強方法【お金の勉強 不動産投資編】,https://i.ytimg.com/vi/PxEN5D6iWlw/default.jpg,https://i.ytimg.com/vi/PxEN5D6iWlw/mqdefault.jpg,https://i.ytimg.com/vi/PxEN5D6iWlw/hqdefault.jpg,2018-12-18T22:00:00Z
JSrI_VFNhPA,第3回 自分の強みを知る方法 ストレングス・ファインダー【ゼロから学ぶITスキル】,https://i.ytimg.com/vi/JSrI_VFNhPA/default.jpg,https://i.ytimg.com/vi/JSrI_VFNhPA/mqdefault.jpg,https://i.ytimg.com/vi/JSrI_VFNhPA/hqdefault.jpg,2018-11-18T22:00:01Z
jB_5NIVLHAw,第16回 株式投資はいくらから始めれば良いか？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/jB_5NIVLHAw/default.jpg,https://i.ytimg.com/vi/jB_5NIVLHAw/mqdefault.jpg,https://i.ytimg.com/vi/jB_5NIVLHAw/hqdefault.jpg,2019-01-19T22:00:02Z
NnO6_11Hlho,第28回 初心者が投資で勝つ方法 詐欺(ポンジスキーム)にあわない事【お金の勉強 初級編 】,https://i.ytimg.com/vi/NnO6_11Hlho/default.jpg,https://i.ytimg.com/vi/NnO6_11Hlho/mqdefault.jpg,https://i.ytimg.com/vi/NnO6_11Hlho/hqdefault.jpg,2018-10-25T22:05:19Z
IBXqKVYrV6I,第13回 質問力を磨けば人生で得をする【人生論】,https://i.ytimg.com/vi/IBXqKVYrV6I/default.jpg,https://i.ytimg.com/vi/IBXqKVYrV6I/mqdefault.jpg,https://i.ytimg.com/vi/IBXqKVYrV6I/hqdefault.jpg,2019-02-11T22:00:00Z
Vh167mbf3ME,第21回 お金持ちに学ぶ運気を上げる方法【人生論】,https://i.ytimg.com/vi/Vh167mbf3ME/default.jpg,https://i.ytimg.com/vi/Vh167mbf3ME/mqdefault.jpg,https://i.ytimg.com/vi/Vh167mbf3ME/hqdefault.jpg,2019-02-27T22:00:02Z
PPGtUNUAUVQ,第2回 GYAZO 瞬間共有スクリーンショット【ゼロから学ぶITスキル】,https://i.ytimg.com/vi/PPGtUNUAUVQ/default.jpg,https://i.ytimg.com/vi/PPGtUNUAUVQ/mqdefault.jpg,https://i.ytimg.com/vi/PPGtUNUAUVQ/hqdefault.jpg,2018-11-12T10:00:03Z
d-Aw-xtW6gw,第74回 引越し費用を安くする方法【お金の勉強 初級編】,https://i.ytimg.com/vi/d-Aw-xtW6gw/default.jpg,https://i.ytimg.com/vi/d-Aw-xtW6gw/mqdefault.jpg,https://i.ytimg.com/vi/d-Aw-xtW6gw/hqdefault.jpg,2019-03-05T22:00:05Z
4ool-J29C0o,第18回 つみたてNISA・iDeCo・小規模企業共済どれから始めるべき？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/4ool-J29C0o/default.jpg,https://i.ytimg.com/vi/4ool-J29C0o/mqdefault.jpg,https://i.ytimg.com/vi/4ool-J29C0o/hqdefault.jpg,2019-01-29T22:00:00Z
PfAbpJGta8o,第25回 FXとレバレッジの基本【お金の勉強 初級編】,https://i.ytimg.com/vi/PfAbpJGta8o/default.jpg,https://i.ytimg.com/vi/PfAbpJGta8o/mqdefault.jpg,https://i.ytimg.com/vi/PfAbpJGta8o/hqdefault.jpg,2018-10-23T22:00:03Z
eRlWSYrjSpg,第22回 債券と株式の最適な割合とは？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/eRlWSYrjSpg/default.jpg,https://i.ytimg.com/vi/eRlWSYrjSpg/mqdefault.jpg,https://i.ytimg.com/vi/eRlWSYrjSpg/hqdefault.jpg,2019-03-03T22:00:05Z
v5DwRdUr0d8,第75回 奨学金は繰り上げ返済した方が良いか？【お金の勉強 初級編】【人生論】,https://i.ytimg.com/vi/v5DwRdUr0d8/default.jpg,https://i.ytimg.com/vi/v5DwRdUr0d8/mqdefault.jpg,https://i.ytimg.com/vi/v5DwRdUr0d8/hqdefault.jpg,2019-03-07T22:00:04Z
vjh-RsgVXeo,第8-1回 不動産物件を安く買う方法 前編【お金の勉強 不動産投資編】,https://i.ytimg.com/vi/vjh-RsgVXeo/default.jpg,https://i.ytimg.com/vi/vjh-RsgVXeo/mqdefault.jpg,https://i.ytimg.com/vi/vjh-RsgVXeo/hqdefault.jpg,2018-12-27T22:00:02Z
x1JIV6OzF_U,第37回 投資と投機の違い&amp;なぜ投資をするのか【お金の勉強 初級編】,https://i.ytimg.com/vi/x1JIV6OzF_U/default.jpg,https://i.ytimg.com/vi/x1JIV6OzF_U/mqdefault.jpg,https://i.ytimg.com/vi/x1JIV6OzF_U/hqdefault.jpg,2018-11-03T13:00:08Z
aii_Xy1pBUI,第17回 クレジットの仕組みとリボ払いの悪夢【お金の勉強 初級編 】,https://i.ytimg.com/vi/aii_Xy1pBUI/default.jpg,https://i.ytimg.com/vi/aii_Xy1pBUI/mqdefault.jpg,https://i.ytimg.com/vi/aii_Xy1pBUI/hqdefault.jpg,2018-10-16T10:00:00Z
F7fRUmb1dBI,第27回 自己投資は最高の投資【お金の勉強 初級編 】,https://i.ytimg.com/vi/F7fRUmb1dBI/default.jpg,https://i.ytimg.com/vi/F7fRUmb1dBI/mqdefault.jpg,https://i.ytimg.com/vi/F7fRUmb1dBI/hqdefault.jpg,2018-10-24T22:00:01Z
cgVTQGLVMJE,第45回 起業で失敗しないためのコツ【お金の勉強 初級編】,https://i.ytimg.com/vi/cgVTQGLVMJE/default.jpg,https://i.ytimg.com/vi/cgVTQGLVMJE/mqdefault.jpg,https://i.ytimg.com/vi/cgVTQGLVMJE/hqdefault.jpg,2018-11-14T22:00:04Z
6KLUlGNiZps,第30-2回 【海外銀行の金利で大儲け？】外貨預金の罠とインフレ・デフレ【お金の勉強 初級編 】,https://i.ytimg.com/vi/6KLUlGNiZps/default.jpg,https://i.ytimg.com/vi/6KLUlGNiZps/mqdefault.jpg,https://i.ytimg.com/vi/6KLUlGNiZps/hqdefault.jpg,2018-10-24T07:00:40Z
4ngi_2AWr0E,第10回 自由とは？【人生論】,https://i.ytimg.com/vi/4ngi_2AWr0E/default.jpg,https://i.ytimg.com/vi/4ngi_2AWr0E/mqdefault.jpg,https://i.ytimg.com/vi/4ngi_2AWr0E/hqdefault.jpg,2019-02-06T22:00:00Z
cC0X1jCJKAM,第55回 税金から見る日本でお金持ちになる方法【お金の勉強 初級編 】,https://i.ytimg.com/vi/cC0X1jCJKAM/default.jpg,https://i.ytimg.com/vi/cC0X1jCJKAM/mqdefault.jpg,https://i.ytimg.com/vi/cC0X1jCJKAM/hqdefault.jpg,2018-11-25T22:00:01Z
OlHrvXixR2U,第23回 金や純金への投資は必要か？【お金の勉強 株式投資編】,https://i.ytimg.com/vi/OlHrvXixR2U/default.jpg,https://i.ytimg.com/vi/OlHrvXixR2U/mqdefault.jpg,https://i.ytimg.com/vi/OlHrvXixR2U/hqdefault.jpg,2019-03-10T22:00:03Z
M2uB2E3KYBw,第29回 初心者が投資で勝つ方法 毎月分配型の投資信託を買うな【お金の勉強 初級編】,https://i.ytimg.com/vi/M2uB2E3KYBw/default.jpg,https://i.ytimg.com/vi/M2uB2E3KYBw/mqdefault.jpg,https://i.ytimg.com/vi/M2uB2E3KYBw/hqdefault.jpg,2018-10-26T22:00:02Z
eHTtxaXx5wI,第40-1回 お金を稼ぐ 基本の考え方【お金の勉強 初級編 】,https://i.ytimg.com/vi/eHTtxaXx5wI/default.jpg,https://i.ytimg.com/vi/eHTtxaXx5wI/mqdefault.jpg,https://i.ytimg.com/vi/eHTtxaXx5wI/hqdefault.jpg,2018-11-06T22:00:02Z
6UfffEKxFyM,第21回 投資が不安なあなたへ【お金の勉強 初級編】,https://i.ytimg.com/vi/6UfffEKxFyM/default.jpg,https://i.ytimg.com/vi/6UfffEKxFyM/mqdefault.jpg,https://i.ytimg.com/vi/6UfffEKxFyM/hqdefault.jpg,2018-10-19T14:41:29Z
